Begriffslexikon;;;;
;;;;
Begriff;Bedeutung;Abgrenzung;Gültigkeit;Unklarheiten
Inhaltsstoffe;Ein Inhaltsstoff tritt in einem Produkt auf und ist somit Bestandteil des Produktes.;;;
Inhaltsstoffdatenbank;Eine Datenbank die alle Inhaltsstoffe beinhaltet welche in den gelisteten Produkten auftreten.;;;
Blacklist;Eine Sammlung von Inhaltsstoffen die der User nicht konsumieren möchte oder darf.;;;
;;;;
;;;;
